,class_or_metric,precision,recall,f1-score,support
0,0,0.488,0.41496598639455784,0.4485294117647059,147.0
1,1,0.52,0.35135135135135137,0.41935483870967744,111.0
2,2,0.13432835820895522,1.0,0.23684210526315788,9.0
3,accuracy,0.40823970037453183,0.40823970037453183,0.40823970037453183,0.40823970037453183
4,macro avg,0.38077611940298506,0.5887724459153031,0.36824211857918043,267.0
5,weighted avg,0.4893818547710884,0.40823970037453183,0.4292651294889677,267.0
