,class_or_metric,precision,recall,f1-score,support
0,0,0.7419354838709677,0.6258503401360545,0.6789667896678967,147.0
1,1,0.6612903225806451,0.7387387387387387,0.6978723404255319,111.0
2,2,0.2631578947368421,0.5555555555555556,0.35714285714285715,9.0
3,accuracy,0.6704119850187266,0.6704119850187266,0.6704119850187266,0.6704119850187266
4,macro avg,0.555461233729485,0.6400482114767829,0.5779939957454286,267.0
5,weighted avg,0.6922702733637284,0.6704119850187266,0.6759784029314628,267.0
