,class_or_metric,precision,recall,f1-score,support
0,0,0.7019230769230769,0.4965986394557823,0.5816733067729084,147.0
1,1,0.5925925925925926,0.7207207207207207,0.6504065040650406,111.0
2,2,0.2857142857142857,0.8888888888888888,0.43243243243243246,9.0
3,accuracy,0.602996254681648,0.602996254681648,0.602996254681648,0.602996254681648
4,macro avg,0.5267433184099851,0.7020694163551306,0.5548374144234605,267.0
5,weighted avg,0.6424415680033658,0.602996254681648,0.6052171907817564,267.0
