,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.4068794250488281,0.1754615306854248,0.8051941394805908,0.35694336891174316,0.12463784217834473,0.18486666679382324,0.33719849586486816,0.1254873275756836,0.31524658203125,0.12379741668701172,0.1662428379058838,0.22050094604492188,0.2609584331512451,0.19069242477416992,0.26065897941589355,0.2703177611033122,0.1729033880287405
score_time,0.020655155181884766,0.019452333450317383,0.01661849021911621,0.014975786209106445,0.016485214233398438,0.0196073055267334,0.015595674514770508,0.022190332412719727,0.013541698455810547,0.015409708023071289,0.019614219665527344,0.018590688705444336,0.015808582305908203,0.055346012115478516,0.013991117477416992,0.019858821233113607,0.01014798270907177
test_accuracy,0.7037037037037037,0.6666666666666666,0.7169811320754716,0.7547169811320755,0.8113207547169812,0.7222222222222222,0.8333333333333334,0.7169811320754716,0.6792452830188679,0.6981132075471698,0.7037037037037037,0.7962962962962963,0.7358490566037735,0.6981132075471698,0.7169811320754716,0.7302818541812252,0.04847874002720105
test_f1_macro,0.4780952380952381,0.5479626485568762,0.48258345428156746,0.7245334702961821,0.7435626102292768,0.5063131313131314,0.7306340238543628,0.48732220160791595,0.6210090658257785,0.4695340501792115,0.48234155781325594,0.7491452991452991,0.7133569739952718,0.4666666666666666,0.49232704402515726,0.5796924957256794,0.11820036688001685
test_precision_macro,0.46913580246913583,0.5555555555555556,0.48647342995169085,0.8313131313131313,0.7020289855072464,0.5097435897435898,0.7293853073463268,0.48888888888888893,0.6222222222222222,0.46565656565656566,0.4830917874396135,0.8682539682539683,0.6625641025641026,0.4693121693121693,0.4900793650793651,0.588913658086905,0.13849687681189465
test_recall_macro,0.49075462268865566,0.6080808080808081,0.49898989898989904,0.6734587251828632,0.8740856844305119,0.5052473763118441,0.7323232323232324,0.494949494949495,0.6201671891327064,0.47648902821316613,0.496751624187906,0.693939393939394,0.8242424242424242,0.4728317659352142,0.506269592476489,0.5979053907389741,0.1337822486717279
