,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.10172462463378906,0.08957266807556152,0.07890057563781738,0.07884716987609863,0.08751988410949707,0.07874679565429688,0.15622782707214355,0.09076666831970215,0.09066963195800781,0.08692193031311035,0.10213303565979004,0.0926656723022461,0.08765316009521484,0.08802247047424316,0.10049939155578613,0.09405810038248698,0.018787539229499467
score_time,0.015949726104736328,0.014162302017211914,0.014111042022705078,0.014132976531982422,0.014137744903564453,0.014218568801879883,0.014192819595336914,0.014397621154785156,0.014386415481567383,0.01597118377685547,0.014722347259521484,0.014258623123168945,0.014322757720947266,0.014373302459716797,0.014403820037841797,0.014516083399454753,0.0006067969496509196
test_accuracy,0.7037037037037037,0.6296296296296297,0.7358490566037735,0.7735849056603774,0.7924528301886793,0.7407407407407407,0.8148148148148148,0.7169811320754716,0.6981132075471698,0.7547169811320755,0.7222222222222222,0.7592592592592593,0.6981132075471698,0.7169811320754716,0.6792452830188679,0.7290938737479618,0.046577587884483775
test_f1_macro,0.4780952380952381,0.5222222222222223,0.5098646034816248,0.7369509043927649,0.6750664540138224,0.5195402298850574,0.7145833333333332,0.48732220160791595,0.47495410437975344,0.5084527035746548,0.4954039671020803,0.7222222222222222,0.47326336831584204,0.6428571428571428,0.47143778207607995,0.5621490985039836,0.10301083288468646
test_precision_macro,0.46913580246913583,0.5185185185185185,0.52,0.8453661034306196,0.6576479076479076,0.5256008359456635,0.727668845315904,0.48888888888888893,0.4779372674109516,0.5082559339525284,0.4937739463601532,0.8402116402116402,0.47222222222222215,0.6568627450980392,0.47025641025641024,0.5781564711819056,0.13347323184537752
test_recall_macro,0.49075462268865566,0.5858585858585859,0.506060606060606,0.6849529780564264,0.7037617554858935,0.5137431284357822,0.7090909090909091,0.494949494949495,0.47648902821316613,0.5146290491118077,0.5082458770614693,0.6676767676767676,0.47575757575757577,0.6394984326018809,0.47596656217345873,0.5631623582148321,0.09137320667162704
