,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.030107736587524414,0.028702974319458008,0.02790212631225586,0.032004356384277344,0.03135061264038086,0.030102014541625977,0.03135490417480469,0.03273797035217285,0.028131723403930664,0.03156304359436035,0.036177635192871094,0.033783912658691406,0.03760385513305664,0.03417372703552246,0.029170989990234375,0.031657838821411134,0.002858488218569669
score_time,0.015100240707397461,0.015899181365966797,0.016180038452148438,0.0161592960357666,0.016080617904663086,0.016100645065307617,0.015902996063232422,0.01557159423828125,0.016487598419189453,0.016528606414794922,0.018564462661743164,0.016445159912109375,0.01706671714782715,0.016768932342529297,0.01631331443786621,0.016344626744588215,0.000775734568997718
test_accuracy,0.6481481481481481,0.48148148148148145,0.6981132075471698,0.6226415094339622,0.8490566037735849,0.8148148148148148,0.7222222222222222,0.7169811320754716,0.5849056603773585,0.7547169811320755,0.6666666666666666,0.8333333333333334,0.6981132075471698,0.6226415094339622,0.6226415094339622,0.6890985324947588,0.09925742091428134
test_f1_macro,0.6027253668763103,0.4551133932391956,0.4782060972537163,0.5886644219977554,0.7707231040564374,0.6747757073844031,0.6253241800152555,0.6213816653532965,0.580999066293184,0.8276803118908381,0.6378032345013477,0.7012919896640827,0.6084381551362683,0.5506775067750677,0.5559758339900184,0.6186520022951452,0.09816537528224571
test_precision_macro,0.6051587301587301,0.42641325536062374,0.5065789473684211,0.5498989898989899,0.7298550724637681,0.6571390230810521,0.6064814814814815,0.5877777777777778,0.5400932400932401,0.8271221532091096,0.6076023391812866,0.6857142857142858,0.576644370122631,0.536691190341445,0.5377777777777778,0.5987299089353748,0.09735579090344519
test_recall_macro,0.6084457771114442,0.6363636363636364,0.49191919191919187,0.7408568443051201,0.9007314524555904,0.7208895552223887,0.6575757575757576,0.8131313131313131,0.7178683385579937,0.8286311389759665,0.7811094452773614,0.7282828282828283,0.8020202020202021,0.5783699059561128,0.5893416927899686,0.7063691386629916,0.11142240995752986
