,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.015060186386108398,0.014995098114013672,0.012590408325195312,0.009029388427734375,0.00815582275390625,0.008198261260986328,0.007712125778198242,0.007670164108276367,0.008333921432495117,0.013868331909179688,0.009496688842773438,0.008521318435668945,0.008049726486206055,0.007809638977050781,0.008600234985351562,0.009872754414876303,0.0027518292490906217
score_time,0.021512746810913086,0.019715547561645508,0.017718791961669922,0.012403011322021484,0.012984275817871094,0.012490034103393555,0.012474298477172852,0.01190638542175293,0.013768672943115234,0.014485359191894531,0.014630794525146484,0.012236356735229492,0.012461423873901367,0.01177072525024414,0.011527061462402344,0.014139032363891602,0.003076072371921648
test_accuracy,0.5740740740740741,0.48148148148148145,0.660377358490566,0.6415094339622641,0.5849056603773585,0.6481481481481481,0.6481481481481481,0.5094339622641509,0.5094339622641509,0.6415094339622641,0.6851851851851852,0.6296296296296297,0.5471698113207547,0.6037735849056604,0.5849056603773585,0.5966457023060797,0.06215062073673054
test_f1_macro,0.598495594240275,0.4587301587301587,0.6107688358362212,0.6020408163265306,0.5141287284144427,0.6042419376421785,0.5922297808012094,0.4285135330728036,0.4457282913165265,0.5891825329165482,0.6526984126984127,0.569434014740648,0.457070707070707,0.5138872612211415,0.6089743589743589,0.5497416642668108,0.07299893290616091
test_precision_macro,0.5659722222222222,0.42948717948717946,0.5695115405260333,0.5709876543209876,0.5272727272727272,0.5814814814814814,0.5726817042606517,0.4342300194931774,0.43030303030303024,0.5598845598845599,0.6131313131313131,0.5506349206349207,0.47321428571428575,0.4972222222222222,0.5635451505016723,0.5293040007637643,0.06087198177754815
test_recall_macro,0.7176411794102947,0.6404040404040404,0.7757575757575758,0.7633228840125392,0.7324973876698015,0.769615192403798,0.7727272727272728,0.6787878787878787,0.5130616509926855,0.7596656217345873,0.7896051974012993,0.7535353535353536,0.7171717171717171,0.5778474399164054,0.7178683385579937,0.7119672486988831,0.07930126956832374
