,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.012561559677124023,0.020808935165405273,0.018305301666259766,0.016264915466308594,0.017882823944091797,0.026847362518310547,0.01983928680419922,0.021337270736694336,0.12394952774047852,0.025534391403198242,0.016634225845336914,0.014542818069458008,0.014974594116210938,0.016550302505493164,0.04300212860107422,0.02726902961730957,0.02774488987529941
score_time,0.01546168327331543,0.016490936279296875,0.017722368240356445,0.017884016036987305,0.0191500186920166,0.02030038833618164,0.019806623458862305,0.0501863956451416,0.02030181884765625,0.016787052154541016,0.016528844833374023,0.01611042022705078,0.016523361206054688,0.01759195327758789,0.017160415649414062,0.019867086410522462,0.008526928990499852
test_accuracy,0.5925925925925926,0.5925925925925926,0.660377358490566,0.660377358490566,0.8490566037735849,0.6666666666666666,0.6666666666666666,0.6415094339622641,0.6037735849056604,0.5849056603773585,0.6666666666666666,0.6851851851851852,0.5471698113207547,0.6226415094339622,0.6226415094339622,0.6441882133706032,0.06892650073926493
test_f1_macro,0.6141975308641975,0.5854497354497353,0.45308176100628933,0.6031339031339031,0.7530657748049053,0.5499999999999999,0.5519323671497585,0.566931216931217,0.5748299319727891,0.5478632478632478,0.6663247863247862,0.5588103254769922,0.40039784029553854,0.5559758339900184,0.5249766573295985,0.5671313941728652,0.081060407772317
test_precision_macro,0.5666666666666668,0.5396878483835006,0.4632505175983437,0.5734989648033126,0.7216183574879227,0.5440917107583775,0.5416666666666667,0.5298216276477147,0.5419753086419753,0.5155279503105591,0.6275314723590585,0.5631313131313131,0.4305555555555555,0.5377777777777778,0.5191772534785238,0.5477319327511512,0.066090678087224
test_recall_macro,0.7201399300349826,0.7191919191919193,0.4575757575757575,0.7711598746081504,0.9043887147335422,0.6259370314842578,0.6242424242424242,0.7565656565656566,0.7366771159874608,0.7178683385579937,0.7781109445277362,0.6353535353535353,0.3828282828282828,0.5893416927899686,0.6003134796238244,0.6679796465403662,0.13097222463465288
