,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.19816851615905762,0.6475775241851807,0.14815974235534668,0.11193513870239258,0.5230543613433838,0.20986676216125488,2.87976336479187,0.07449460029602051,0.23758649826049805,0.07986736297607422,0.2358393669128418,0.07759618759155273,0.08053445816040039,0.07800054550170898,0.0808556079864502,0.3775533358256022,0.7128765575491965
score_time,0.020041942596435547,0.016359806060791016,0.015758752822875977,0.015471935272216797,0.018979549407958984,0.016047239303588867,0.014168739318847656,0.015442848205566406,0.014027595520019531,0.015787124633789062,0.014320135116577148,0.014009475708007812,0.013933897018432617,0.014121532440185547,0.013997316360473633,0.015497859319051106,0.0018534428580279899
test_accuracy,0.6296296296296297,0.6666666666666666,0.5849056603773585,0.7735849056603774,0.7735849056603774,0.6851851851851852,0.8148148148148148,0.660377358490566,0.6415094339622641,0.7735849056603774,0.7037037037037037,0.7592592592592593,0.660377358490566,0.660377358490566,0.6226415094339622,0.6940135103657116,0.06869138670689608
test_f1_macro,0.4276190476190476,0.60207336523126,0.404642166344294,0.8401253918495298,0.5310344827586208,0.4857699805068226,0.5586396599149788,0.4438775510204082,0.4381099126861838,0.5208333333333334,0.4829339143064633,0.5166666666666667,0.4429083461341526,0.5992324561403509,0.42857142857142855,0.5148691802055694,0.10951711360079365
test_precision_macro,0.419753086419753,0.6180555555555555,0.4133333333333334,0.8401253918495298,0.5252373813093453,0.49567099567099565,0.5565476190476191,0.44112060778727447,0.4343434343434343,0.5253968253968254,0.4795238095238095,0.5253968253968254,0.4458333333333333,0.6148809523809523,0.43172043010752686,0.5177959720970742,0.11114871767130736
test_recall_macro,0.43878060969515237,0.6,0.40101010101010104,0.8401253918495298,0.5370950888192269,0.47626186906546725,0.5616161616161617,0.4535353535353535,0.44200626959247646,0.5261233019853709,0.4937531234382808,0.5161616161616162,0.4414141414141414,0.5977011494252874,0.4268547544409613,0.5168292621366085,0.10874372219628436
