,class_or_metric,precision,recall,f1-score,support
0,0,0.5078125,0.4421768707482993,0.4727272727272727,147.0
1,1,0.527027027027027,0.35135135135135137,0.42162162162162165,111.0
2,2,0.13846153846153847,1.0,0.24324324324324326,9.0
3,accuracy,0.4232209737827715,0.4232209737827715,0.4232209737827715,0.4232209737827715
4,macro avg,0.39110035516285513,0.5978427406998835,0.3791973791973792,267.0
5,weighted avg,0.503350529386344,0.4232209737827715,0.44374568644231566,267.0
