,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.012887954711914062,0.016688823699951172,0.017746448516845703,0.01710033416748047,0.017981767654418945,0.01869797706604004,0.017626285552978516,0.01783895492553711,0.018674373626708984,0.017313241958618164,0.017262935638427734,0.019207239151000977,0.015801429748535156,0.017992734909057617,0.017861366271972656,0.017378791173299154,0.0014969150055291148
score_time,0.015636205673217773,0.016242504119873047,0.01684403419494629,0.01733541488647461,0.017070531845092773,0.01736164093017578,0.017232179641723633,0.017810583114624023,0.017420291900634766,0.017733335494995117,0.017540931701660156,0.017377853393554688,0.017044544219970703,0.017156362533569336,0.01754617691040039,0.01715683937072754,0.0005683839920876967
test_accuracy,0.6296296296296297,0.5555555555555556,0.6037735849056604,0.660377358490566,0.8301886792452831,0.7777777777777778,0.6851851851851852,0.6792452830188679,0.6037735849056604,0.6226415094339622,0.7037037037037037,0.7777777777777778,0.6981132075471698,0.6226415094339622,0.7169811320754716,0.6778243652457488,0.0758293231912839
test_f1_macro,0.5898765432098766,0.5530778164924507,0.41459119496855346,0.6164994425863991,0.7570608226883863,0.6925925925925926,0.634216512779339,0.5936507936507937,0.6220616441411302,0.5142857142857143,0.6466666666666666,0.6891226774947704,0.6872678149273894,0.5358511220580185,0.5951013711473104,0.609461515312626,0.08441886703185324
test_precision_macro,0.5908641975308643,0.5087719298245613,0.42236024844720493,0.5797101449275363,0.7166666666666667,0.6935802469135802,0.5986473429951691,0.5571348940914159,0.5755555555555555,0.5231481481481481,0.6155202821869489,0.663003663003663,0.6364102564102564,0.5183908045977011,0.5805555555555555,0.5853546624569884,0.07580136067956363
test_recall_macro,0.5939530234882558,0.6848484848484849,0.42020202020202024,0.7711598746081504,0.8892371995820271,0.6979010494752623,0.7909090909090909,0.7828282828282829,0.729362591431557,0.5856844305120167,0.8040979510244878,0.8505050505050505,0.797979797979798,0.5820271682340649,0.6577847439916406,0.709232050641346,0.12455805834351313
