,class_or_metric,precision,recall,f1-score,support
0,0,0.7379310344827587,0.7278911564625851,0.7328767123287672,147.0
1,1,0.7027027027027027,0.7027027027027027,0.7027027027027027,111.0
2,2,0.36363636363636365,0.4444444444444444,0.4,9.0
3,accuracy,0.7078651685393258,0.7078651685393258,0.7078651685393258,0.7078651685393258
4,macro avg,0.6014233669406083,0.6250127678699108,0.6118598050104899,267.0
5,weighted avg,0.7106688739389243,0.7078651685393258,0.7091118977989842,267.0
