,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.19214844703674316,0.1673872470855713,0.09239625930786133,0.06725215911865234,0.06840729713439941,0.06532406806945801,0.06951594352722168,0.07387137413024902,0.06639409065246582,0.06692934036254883,0.169327974319458,0.06907200813293457,0.0700676441192627,0.06408810615539551,0.07158422470092773,0.09158441225687662,0.04463485680539396
score_time,0.015659809112548828,0.01472020149230957,0.013541698455810547,0.014336824417114258,0.013936281204223633,0.014071941375732422,0.013971090316772461,0.014048099517822266,0.013940811157226562,0.015532732009887695,0.013564586639404297,0.013938665390014648,0.014101505279541016,0.013936758041381836,0.015372037887573242,0.014311536153157552,0.0006864306814582239
test_accuracy,0.7037037037037037,0.6111111111111112,0.7924528301886793,0.7735849056603774,0.7924528301886793,0.6851851851851852,0.8148148148148148,0.6981132075471698,0.7735849056603774,0.7547169811320755,0.7407407407407407,0.8148148148148148,0.7358490566037735,0.7169811320754716,0.7735849056603774,0.7454460750058234,0.05547793927214327
test_f1_macro,0.47749042145593873,0.5555555555555556,0.5385093940525071,0.7369509043927649,0.7298701298701298,0.47520098948670375,0.7636348238482386,0.4745679012345679,0.6873015873015872,0.5084527035746548,0.5083514887436457,0.7636348238482386,0.7140337616528093,0.6428571428571428,0.6898148148148149,0.6177484295126199,0.1145897882394816
test_precision_macro,0.46804597701149425,0.5454545454545454,0.537283950617284,0.8453661034306196,0.6881118881118882,0.4743589743589743,0.8787409700722394,0.4781746031746032,0.6913978494623656,0.5082559339525284,0.5047619047619047,0.8787409700722394,0.6666666666666666,0.6568627450980392,0.6902564102564103,0.63416529950012,0.14698508437620994
test_recall_macro,0.4877561219390305,0.7181818181818181,0.5434343434343435,0.6849529780564264,0.8589341692789968,0.4792603698150925,0.7090909090909091,0.4838383838383839,0.6849529780564264,0.5146290491118077,0.5197401299350325,0.7090909090909091,0.8282828282828283,0.6394984326018809,0.6959247648902821,0.6371712123736112,0.1250709952669114
