,class_or_metric,precision,recall,f1-score,support
0,0,0.7333333333333333,0.5986394557823129,0.6591760299625468,147.0
1,1,0.64,0.7207207207207207,0.6779661016949152,111.0
2,2,0.3181818181818182,0.7777777777777778,0.45161290322580644,9.0
3,accuracy,0.6554307116104869,0.6554307116104869,0.6554307116104869,0.6554307116104869
4,macro avg,0.5638383838383838,0.6990459847602705,0.5962516782944228,267.0
5,weighted avg,0.6805379639087504,0.6554307116104869,0.6599911229275739,267.0
