,class_or_metric,precision,recall,f1-score,support
0,0,0.7317073170731707,0.6122448979591837,0.6666666666666666,147.0
1,1,0.6370967741935484,0.7117117117117117,0.6723404255319149,111.0
2,2,0.35,0.7777777777777778,0.4827586206896552,9.0
3,accuracy,0.6591760299625468,0.6591760299625468,0.6591760299625468,0.6591760299625468
4,macro avg,0.5729346970889063,0.7005781291495577,0.6072552376294122,267.0
5,weighted avg,0.6795083054128838,0.6591760299625468,0.6628262727350167,267.0
