,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.013356685638427734,0.012709379196166992,0.00915074348449707,0.00936126708984375,0.009349584579467773,0.00870060920715332,0.008484125137329102,0.00877237319946289,0.008447647094726562,0.008234024047851562,0.009079694747924805,0.01242518424987793,0.007996797561645508,0.007622718811035156,0.008476972579956055,0.009477853775024414,0.0018088076274499114
score_time,0.017445802688598633,0.018549203872680664,0.014891624450683594,0.014052391052246094,0.014983892440795898,0.013434648513793945,0.012043476104736328,0.011806964874267578,0.011878252029418945,0.012395858764648438,0.015572309494018555,0.01572871208190918,0.012619972229003906,0.011886358261108398,0.012007474899291992,0.013953129450480143,0.0021734839419275216
test_accuracy,0.5925925925925926,0.5185185185185185,0.6415094339622641,0.6415094339622641,0.6226415094339622,0.6481481481481481,0.6666666666666666,0.5471698113207547,0.5471698113207547,0.7169811320754716,0.6851851851851852,0.5925925925925926,0.5471698113207547,0.6415094339622641,0.5849056603773585,0.6129513160959702,0.057457670683190666
test_f1_macro,0.6104209799861974,0.4884057971014492,0.597948717948718,0.5883408919123204,0.5513963161021985,0.6060424169667867,0.6397174254317112,0.4723231376225634,0.48444444444444446,0.6758467127622172,0.6526984126984127,0.5346818569324964,0.457070707070707,0.5404995331465919,0.5805996472663139,0.5653624664928752,0.06838868084249827
test_precision_macro,0.5837789661319074,0.46085858585858586,0.5591630591630591,0.5631868131868131,0.5591315453384419,0.5753968253968254,0.6007856341189673,0.45350241545893727,0.4682539682539682,0.6333333333333333,0.6131313131313131,0.5205026455026456,0.47321428571428575,0.527039627039627,0.5350724637681159,0.5417567654264551,0.05736706327858544
test_recall_macro,0.7321339330334832,0.6747474747474748,0.7646464646464647,0.7633228840125392,0.7591431556948799,0.766616691654173,0.7797979797979798,0.6969696969696969,0.5433646812957158,0.809299895506792,0.7896051974012993,0.7272727272727272,0.7171717171717171,0.6081504702194357,0.7142110762800419,0.7230969363802945,0.07089073302798042
