,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.010130167007446289,0.009422063827514648,0.00760197639465332,0.0065746307373046875,0.006715536117553711,0.006014347076416016,0.006078243255615234,0.0070765018463134766,0.007637739181518555,0.00611114501953125,0.006862163543701172,0.0058765411376953125,0.005913734436035156,0.007425546646118164,0.006290435791015625,0.007048718134562175,0.0012655447208744831
score_time,0.01761603355407715,0.018887042999267578,0.014143228530883789,0.014200210571289062,0.013474702835083008,0.012311935424804688,0.014322280883789062,0.018945932388305664,0.017960548400878906,0.016742944717407227,0.013413667678833008,0.012088537216186523,0.012092828750610352,0.012877225875854492,0.012495279312133789,0.014771493275960286,0.002537607745247079
test_accuracy,0.5,0.4074074074074074,0.5660377358490566,0.5283018867924528,0.4716981132075472,0.48148148148148145,0.5,0.49056603773584906,0.5283018867924528,0.6415094339622641,0.48148148148148145,0.5185185185185185,0.5283018867924528,0.5283018867924528,0.5849056603773585,0.517120894479385,0.05404639317642987
test_f1_macro,0.4433847075356509,0.39724049000644746,0.4754404510218464,0.45417035072207484,0.37864253393665165,0.39741727199354315,0.41707421707421705,0.41144781144781145,0.5164027956069034,0.5691321006163584,0.39103105356975326,0.4451992451992452,0.42934102934102936,0.44921496414033735,0.5296296296296297,0.4469845767894333,0.05519654116544309
test_precision_macro,0.45462315462315467,0.37074074074074076,0.4647619047619047,0.5375661375661375,0.5648795648795649,0.462962962962963,0.48545572074983845,0.4619047619047619,0.47702589807852963,0.6527777777777778,0.5142156862745099,0.5067340067340068,0.47138047138047146,0.5360623781676414,0.5257296466973886,0.49912138755329283,0.06299100542827554
test_recall_macro,0.6716641679160419,0.6,0.7040404040404041,0.6541274817136886,0.6086729362591431,0.6691654172913543,0.6919191919191919,0.6515151515151515,0.6687565308254962,0.7267502612330198,0.6691654172913543,0.6989898989898989,0.6656565656565657,0.6504702194357367,0.7032392894461861,0.6689421955688822,0.03427712093042624
