,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,3.703550338745117,0.2533423900604248,0.08399510383605957,0.0907907485961914,0.12109255790710449,0.08777213096618652,0.30960536003112793,0.11780405044555664,0.25143957138061523,0.10672330856323242,0.23289728164672852,0.08844351768493652,0.08512449264526367,0.08438467979431152,0.07607245445251465,0.3795358657836914,0.9228830306752801
score_time,0.017025470733642578,0.014642715454101562,0.015499114990234375,0.024056196212768555,0.015378475189208984,0.01594376564025879,0.01932525634765625,0.01708364486694336,0.014805078506469727,0.016630172729492188,0.015192747116088867,0.015716075897216797,0.015438556671142578,0.01531672477722168,0.015303611755371094,0.01649050712585449,0.00240361889249761
test_accuracy,0.6296296296296297,0.7037037037037037,0.6037735849056604,0.6981132075471698,0.7547169811320755,0.7037037037037037,0.8148148148148148,0.660377358490566,0.6415094339622641,0.7169811320754716,0.6666666666666666,0.6666666666666666,0.6792452830188679,0.6981132075471698,0.660377358490566,0.6865595154903332,0.0515579772618228
test_f1_macro,0.42512077294685985,0.6055555555555555,0.41395817586293776,0.685823754789272,0.6319869441044471,0.4839242597534629,0.5576727642276422,0.4444444444444444,0.4381099126861838,0.48161053039101825,0.45694242864054185,0.45096544715447157,0.6656084656084656,0.6729456729456729,0.4580745341614907,0.5248495775514977,0.1003680999184677
test_precision_macro,0.4179523141654979,0.6013071895424836,0.4212962962962963,0.792103948025987,0.6150793650793651,0.4895833333333333,0.5629514963880289,0.44540229885057475,0.4343434343434343,0.4809081527347781,0.45748792270531397,0.45356037151702794,0.6212121212121212,0.803003003003003,0.4567901234567901,0.536865424710269,0.12689509825905182
test_recall_macro,0.43278360819590206,0.6303030303030304,0.4161616161616162,0.6353187042842215,0.677115987460815,0.48175912043978014,0.5575757575757576,0.4575757575757575,0.44200626959247646,0.48798328108672934,0.4707646176911544,0.45252525252525255,0.7707070707070707,0.6206896551724138,0.4608150470219436,0.5329389850529281,0.10802773793676569
