,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.042016029357910156,0.04386782646179199,0.050360918045043945,0.05101919174194336,0.03202104568481445,0.045500993728637695,0.03665518760681152,0.03053569793701172,0.0326838493347168,0.03456616401672363,0.032912492752075195,0.0368955135345459,0.05643963813781738,0.05454444885253906,0.03930807113647461,0.04128847122192383,0.008630442012891707
score_time,0.02052927017211914,0.01964402198791504,0.018646240234375,0.01737356185913086,0.01792764663696289,0.015221834182739258,0.015404701232910156,0.015675067901611328,0.019858121871948242,0.020588397979736328,0.015891075134277344,0.02374863624572754,0.017108678817749023,0.018285036087036133,0.02379775047302246,0.018646669387817384,0.002746921474692028
test_accuracy,0.6481481481481481,0.5185185185185185,0.660377358490566,0.6226415094339622,0.8490566037735849,0.7777777777777778,0.7037037037037037,0.6415094339622641,0.6226415094339622,0.6981132075471698,0.6481481481481481,0.8518518518518519,0.6981132075471698,0.6981132075471698,0.6226415094339622,0.6840903796878639,0.08816006598466018
test_f1_macro,0.6527777777777777,0.4429292929292929,0.452991452991453,0.5750789549239161,0.7952928297755882,0.6647014361300075,0.6125633232016211,0.566931216931217,0.607891156462585,0.6353187042842215,0.6511068128089404,0.740818401321642,0.5907696411898092,0.5905856595511768,0.6349973161567365,0.6143169317623991,0.0907672266456716
test_precision_macro,0.7595238095238095,0.42946859903381646,0.4698412698412698,0.5441269841269841,0.7540229885057471,0.6475213675213675,0.5941880341880342,0.5298216276477147,0.5738095238095239,0.6353187042842215,0.6238425925925926,0.7427035330261136,0.5833030852994555,0.5747126436781609,0.5877777777777778,0.6033321693904392,0.096102336436739
test_recall_macro,0.6024487756121939,0.5151515151515151,0.4616161616161616,0.7408568443051201,0.8934169278996865,0.6979010494752623,0.6464646464646465,0.7565656565656566,0.7481713688610241,0.6353187042842215,0.769615192403798,0.7393939393939394,0.8101010101010101,0.6353187042842215,0.7408568443051201,0.6928798227149052,0.11205183736569371
