,class_or_metric,precision,recall,f1-score,support
0,0,0.5153846153846153,0.4557823129251701,0.48375451263537905,147.0
1,1,0.52,0.35135135135135137,0.41935483870967744,111.0
2,2,0.14516129032258066,1.0,0.2535211267605634,9.0
3,accuracy,0.4307116104868914,0.4307116104868914,0.4307116104868914,0.4307116104868914
4,macro avg,0.3935153019023987,0.6023778880921739,0.38554349270187327,267.0
5,weighted avg,0.5048239328630774,0.4307116104868914,0.4492209385581273,267.0
