,class_or_metric,precision,recall,f1-score,support
0,0,0.72,0.6122448979591837,0.6617647058823529,147.0
1,1,0.639344262295082,0.7027027027027027,0.6695278969957081,111.0
2,2,0.35,0.7777777777777778,0.4827586206896552,9.0
3,accuracy,0.6554307116104869,0.6554307116104869,0.6554307116104869,0.6554307116104869
4,macro avg,0.5697814207650272,0.6975751261465547,0.6046837411892388,267.0
5,weighted avg,0.6739970528642476,0.6554307116104869,0.6589581869566905,267.0
