,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,0.008181571960449219,0.011527299880981445,0.009620189666748047,0.00893259048461914,0.010911941528320312,0.008891105651855469,0.008147478103637695,0.007562160491943359,0.008208990097045898,0.007785320281982422,0.0074977874755859375,0.007276773452758789,0.0073528289794921875,0.00886988639831543,0.007666587829589844,0.008562167485555014,0.001278048981641209
score_time,0.014298200607299805,0.015268802642822266,0.01507258415222168,0.012772560119628906,0.013859987258911133,0.012882471084594727,0.012004852294921875,0.01269674301147461,0.01301431655883789,0.012440681457519531,0.012136220932006836,0.011997699737548828,0.012401342391967773,0.01604747772216797,0.012363910675048828,0.013283856709798177,0.00130715238335651
test_accuracy,0.6111111111111112,0.5,0.6226415094339622,0.6037735849056604,0.6792452830188679,0.6481481481481481,0.6481481481481481,0.5471698113207547,0.5660377358490566,0.6981132075471698,0.6666666666666666,0.6481481481481481,0.5283018867924528,0.6981132075471698,0.5849056603773585,0.616701607267645,0.06135988509077415
test_f1_macro,0.6670194003527335,0.47459324155194,0.5845847773071493,0.5063621193158114,0.6046026921406861,0.6060424169667867,0.593868684106584,0.47268907563025203,0.49713218620781646,0.662380173018471,0.6397174254317112,0.5756802063185043,0.46839734154065743,0.5918803418803419,0.5805996472663139,0.5683699819357173,0.06809876646059253
test_precision_macro,0.6383512544802867,0.4471428571428571,0.5426731078904992,0.4961616161616162,0.5956790123456791,0.5753968253968254,0.5638371290545203,0.45726495726495725,0.48390804597701154,0.6208695652173913,0.5976588628762541,0.5674074074074075,0.4543959519291587,0.5749721293199554,0.5350724637681159,0.543386079082169,0.0621955764226136
test_recall_macro,0.7406296851574213,0.6636363636363637,0.7494949494949495,0.5815047021943575,0.7936259143155695,0.766616691654173,0.7646464646464647,0.701010101010101,0.5585161964472309,0.7978056426332288,0.7751124437781108,0.7686868686868688,0.6979797979797979,0.6462904911180773,0.7142110762800419,0.7146511592688506,0.0739990482065176
