,class_or_metric,precision,recall,f1-score,support
0,0,0.7278911564625851,0.7278911564625851,0.7278911564625851,147.0
1,1,0.6785714285714286,0.6846846846846847,0.6816143497757847,111.0
2,2,0.375,0.3333333333333333,0.35294117647058826,9.0
3,accuracy,0.6966292134831461,0.6966292134831461,0.6966292134831461,0.6966292134831461
4,macro avg,0.5938208616780045,0.5819697248268677,0.5874822275696526,267.0
5,weighted avg,0.6954922418405564,0.6966292134831461,0.6960137206492412,267.0
