,class_or_metric,precision,recall,f1-score,support
0,0,0.7131147540983607,0.5918367346938775,0.6468401486988847,147.0
1,1,0.6311475409836066,0.6936936936936937,0.6609442060085837,111.0
2,2,0.2608695652173913,0.6666666666666666,0.375,9.0
3,accuracy,0.6367041198501873,0.6367041198501873,0.6367041198501873,0.6367041198501873
4,macro avg,0.5350439534331196,0.6507323650180793,0.5609281182358229,267.0
5,weighted avg,0.6637942771108459,0.6367041198501873,0.6435404821186848,267.0
